id,uk_2010_soc_code,name,proximity,exposure,in_employment,grouphier,group
128,3239,Welfare and housing associate professionals,79,58,13839,Associate Professional And Technical Occupations,grp3
69,2223,Speech and language therapists,73,60,14617,Professional Occupations,grp2
67,2221,Physiotherapists,96.5,61,59892,Professional Occupations,grp2
130,3312,Police officers (sergeant and below),77,62.75,142575,Associate Professional And Technical Occupations,grp3
133,3315,Police community support officers,77,62.75,19252,Associate Professional And Technical Occupations,grp3
65,2218,Podiatrists,84.90909091,67.81818182,14472,Professional Occupations,grp2
66,2219,Health professionals,84.90909091,67.81818182,14472,Professional Occupations,grp2
68,2222,Occupational therapists,84.90909091,67.81818182,48385,Professional Occupations,grp2
270,6148,"Undertakers, mortuary and crematorium assistants",71.5,68.5,18021,"Caring, Leisure And Other Service Occupations",grp6
121,3217,Pharmaceutical technicians,83,72,25441,Associate Professional And Technical Occupations,grp3
61,2214,Ophthalmic opticians,90,75,19602,Professional Occupations,grp2
60,2213,Pharmacists,72,76,65791,Professional Occupations,grp2
260,6131,Veterinary nurses,90,77,23484,"Caring, Leisure And Other Service Occupations",grp6
132,3314,Prison service officers (below principal officer),76,78.5,41436,Associate Professional And Technical Occupations,grp3
263,6141,Nursing auxiliaries and assistants,90,87,338084,"Caring, Leisure And Other Service Occupations",grp6
63,2216,Veterinarians,91,89,19941,Professional Occupations,grp2
72,2232,Midwives,97,89,36288,Professional Occupations,grp2
119,3213,Paramedics,97,89,25640,Associate Professional And Technical Occupations,grp3
264,6142,Ambulance staff (excluding paramedics),97,89,23643,"Caring, Leisure And Other Service Occupations",grp6
64,2217,Medical radiographers,88.75,89.75,28244,Professional Occupations,grp2
122,3218,Medical and dental technicians,88.75,89.75,42351,Associate Professional And Technical Occupations,grp3
62,2215,Dental practitioners,97,90,34747,Professional Occupations,grp2
266,6144,Houseparents and residential wardens,88.14285714,90.57142857,46453,"Caring, Leisure And Other Service Occupations",grp6
269,6147,Care escorts,88.14285714,90.57142857,16413,"Caring, Leisure And Other Service Occupations",grp6
58,2211,Medical practitioners,89.20833333,91.16666667,258842,Professional Occupations,grp2
71,2231,Nurses,86,91.5,639206,Professional Occupations,grp2
265,6143,Dental nurses,99.5,98,52518,"Caring, Leisure And Other Service Occupations",grp6
